model_alias,password_id,family,condition,group_id,password,expected_structural_label,structure_type,template_id,template_group,template_text,logp_yes_group,logp_no_group,p_yes_norm,p_no_norm
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.448170898846757,-0.813553640534206,0.3464643269814407,0.6535356730185593
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.1588007762828556,-1.7000903568658767,0.6321123560207506,0.3678876439792494
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.6763427017289309,-1.1747717014749255,0.6220900693462997,0.37790993065370027
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-1.9119854955891964,-2.4685902668033677,0.6356665864863792,0.36433341351362086
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.18086413884349256,-1.9054942547974987,0.8487242636902536,0.15127573630974636
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.6797224950824872,-1.3503470889265963,0.6616430021027914,0.33835699789720874
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.672883026132519,-0.5144122615227248,0.23894526623607168,0.7610547337639283
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.32752534783077,-0.4555262347238266,0.2948384984785421,0.705161501521458
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.6062060869606909,-1.1122807529580103,0.6238858346996385,0.37611416530036157
qwen25_1p5b,E2_001,gaming,linked,gaming_01,valorantjett,yes,semantic_association,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.15451602440087,-0.5870438522208654,0.3618203122872949,0.6381796877127051
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.4105335399789172,-0.7907122957874507,0.349822107735641,0.650177892264359
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-0.9486488108588549,-1.3914651468908503,0.608929902258259,0.39107009774174095
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.5680189007414372,-1.2018767425166053,0.6533637007210467,0.3466362992789533
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-2.0647580348798598,-2.579353968946239,0.625883249164926,0.3741167508350741
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.13391038581296752,-2.1712274565770757,0.8846597927174922,0.11534020728250774
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.7059661697973629,-1.3122111041671463,0.6470837457341422,0.3529162542658579
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.8391193705230828,-0.49549275812986165,0.2069142960849582,0.7930857039150419
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.333257921660418,-0.4320549755527808,0.288803354325202,0.7111966456747981
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.6353835995624799,-1.061386165851675,0.6049187152861224,0.39508128471387755
qwen25_1p5b,E2_002,gaming,control,gaming_01,valorantkettle,uncertain,matched_offtopic_control,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.2214333467259062,-0.5544988319667461,0.33918359369035217,0.6608164063096478
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.2954779679188877,-0.6871021485812026,0.3524297844498769,0.6475702155501232
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.1006709570502213,-1.080474456773427,0.49495104655139815,0.5050489534486018
