template_id,approach,expected_structural_label,n,mean_score,median_score,std_score
R1_score_then_justification_direct,score_then_justification,no,35,46.114285714285714,25.0,30.465768088300088
R1_score_then_justification_direct,score_then_justification,uncertain,57,84.84210526315789,85.0,12.526813347039978
R1_score_then_justification_direct,score_then_justification,yes,57,83.35087719298245,85.0,17.11775522256493
R2_score_then_justification_attacker,score_then_justification,no,35,63.82857142857143,83.0,29.642463295956038
R2_score_then_justification_attacker,score_then_justification,uncertain,57,85.3157894736842,85.0,2.8794710249381987
R2_score_then_justification_attacker,score_then_justification,yes,57,85.40350877192982,85.0,9.388175787208548
R3_justification_then_score_direct,justification_then_score,no,35,61.142857142857146,85.0,45.95531260151019
R3_justification_then_score_direct,justification_then_score,uncertain,57,81.3157894736842,85.0,14.745650563007242
R3_justification_then_score_direct,justification_then_score,yes,57,81.57894736842105,85.0,17.376037860494066
R4_justification_then_score_short_generator,justification_then_score,no,35,79.28571428571429,85.0,12.841961158115792
R4_justification_then_score_short_generator,justification_then_score,uncertain,57,77.54385964912281,85.0,23.12857707889172
R4_justification_then_score_short_generator,justification_then_score,yes,57,73.0701754385965,85.0,26.772093445763105
R5_no_justification_direct,no_justification,no,35,51.91428571428571,25.0,32.37589101982726
R5_no_justification_direct,no_justification,uncertain,57,84.98245614035088,85.0,12.580442911902948
R5_no_justification_direct,no_justification,yes,57,83.64912280701755,85.0,17.160472883167724
R6_no_justification_attacker,no_justification,no,35,72.71428571428571,85.0,25.463435640577817
R6_no_justification_attacker,no_justification,uncertain,57,85.28070175438596,85.0,2.704192419485716
R6_no_justification_attacker,no_justification,yes,57,86.56140350877193,85.0,4.899043433816041
