template_id,approach,category,expected_structural_label,n
R1_score_then_justification_direct,score_then_justification,phrase,uncertain,1
R1_score_then_justification_direct,score_then_justification,sequence,no,35
R1_score_then_justification_direct,score_then_justification,sequence,uncertain,56
R1_score_then_justification_direct,score_then_justification,sequence,yes,57
R2_score_then_justification_attacker,score_then_justification,sequence,no,35
R2_score_then_justification_attacker,score_then_justification,sequence,uncertain,57
R2_score_then_justification_attacker,score_then_justification,sequence,yes,57
R3_justification_then_score_direct,justification_then_score,cultural_association,uncertain,3
R3_justification_then_score_direct,justification_then_score,cultural_association,yes,8
R3_justification_then_score_direct,justification_then_score,none,no,28
R3_justification_then_score_direct,justification_then_score,none,uncertain,3
R3_justification_then_score_direct,justification_then_score,none,yes,8
R3_justification_then_score_direct,justification_then_score,phrase,uncertain,32
R3_justification_then_score_direct,justification_then_score,phrase,yes,25
R3_justification_then_score_direct,justification_then_score,repetition,yes,1
R3_justification_then_score_direct,justification_then_score,sequence,no,7
R3_justification_then_score_direct,justification_then_score,sequence,uncertain,19
R3_justification_then_score_direct,justification_then_score,sequence,yes,15
R4_justification_then_score_short_generator,justification_then_score,cultural_association,uncertain,7
R4_justification_then_score_short_generator,justification_then_score,cultural_association,yes,12
R4_justification_then_score_short_generator,justification_then_score,none,no,1
R4_justification_then_score_short_generator,justification_then_score,none,uncertain,2
R4_justification_then_score_short_generator,justification_then_score,none,yes,2
R4_justification_then_score_short_generator,justification_then_score,personal_info_like,uncertain,3
R4_justification_then_score_short_generator,justification_then_score,personal_info_like,yes,2
R4_justification_then_score_short_generator,justification_then_score,phrase,no,5
R4_justification_then_score_short_generator,justification_then_score,phrase,uncertain,9
R4_justification_then_score_short_generator,justification_then_score,phrase,yes,12
R4_justification_then_score_short_generator,justification_then_score,repetition,uncertain,11
R4_justification_then_score_short_generator,justification_then_score,repetition,yes,7
R4_justification_then_score_short_generator,justification_then_score,sequence,no,29
R4_justification_then_score_short_generator,justification_then_score,sequence,uncertain,25
R4_justification_then_score_short_generator,justification_then_score,sequence,yes,22
R5_no_justification_direct,no_justification,none,yes,1
R5_no_justification_direct,no_justification,phrase,uncertain,1
R5_no_justification_direct,no_justification,phrase,yes,2
R5_no_justification_direct,no_justification,sequence,no,35
R5_no_justification_direct,no_justification,sequence,uncertain,56
R5_no_justification_direct,no_justification,sequence,yes,54
R6_no_justification_attacker,no_justification,repetition,yes,1
R6_no_justification_attacker,no_justification,sequence,no,35
R6_no_justification_attacker,no_justification,sequence,uncertain,57
R6_no_justification_attacker,no_justification,sequence,yes,56
